### Footprint positions - created on 2026-02-28T21:35:28+0700 ###
### Printed by KiCad version 9.0.1
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                       Package                                                         PosX       PosY       Rot  Side
J18       UL-3.81-2-R               PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal      199.0500  -119.7275    0.0000  top
J19       UL-3.81-3-R               PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal      207.2043   -28.2800  180.0000  top
J20       UL-3.81-3-R               PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal      240.0979   -28.2800  180.0000  top
J21       UL-3.81-3-R               PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal      272.9914   -28.2800  180.0000  top
J22       UL-3.81-3-R               PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal      305.8850   -28.2800  180.0000  top
JP4       Jumper_2_Bridged          SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm            279.7125  -116.2675   90.0000  top
K1        SLA-05VDC-SL-C            SLA05VDCSLC                                                  77.0200   -62.1100    0.0000  top
K2        SLA-05VDC-SL-C            SLA05VDCSLC                                                 109.7714   -62.1100    0.0000  top
K3        SLA-05VDC-SL-C            SLA05VDCSLC                                                 142.5229   -62.1100    0.0000  top
K4        SLA-05VDC-SL-C            SLA05VDCSLC                                                 175.2743   -62.1100    0.0000  top
K5        SLA-05VDC-SL-C            SLA05VDCSLC                                                 208.0257   -62.1100    0.0000  top
K6        SLA-05VDC-SL-C            SLA05VDCSLC                                                 240.7771   -62.1100    0.0000  top
K7        SLA-05VDC-SL-C            SLA05VDCSLC                                                 273.5286   -62.1100    0.0000  top
K8        SLA-05VDC-SL-C            SLA05VDCSLC                                                 306.2800   -62.1100    0.0000  top
L1        3.3uH                     L_12x12mm_H8mm                                              312.6700   -83.6800  180.0000  top
L2        4.7uH                     L_12x12mm_H8mm                                              269.7700   -84.2000    0.0000  top
L3        4.7uH                     L_12x12mm_H8mm                                              290.3300   -84.2000  180.0000  top
L4        30R                       L_0805_2012Metric                                           230.7600   -95.4600   90.0000  top
PS1       MP2223GJ-P                SOT65P280X100-8N                                            279.9100   -89.0500  180.0000  top
Q1        MMBT2222A                 SOT-23                                                       78.5454   -68.8500  180.0000  top
Q2        MMBT2222A                 SOT-23                                                      111.3143   -68.8600  180.0000  top
Q3        MMBT2222A                 SOT-23                                                      143.7832   -68.8625  180.0000  top
Q4        MMBT2222A                 SOT-23                                                      176.5846   -68.8500  180.0000  top
Q5        2SC1815                   SOT-23                                                      246.5875  -100.7100    0.0000  top
Q6        MMBT2222A                 SOT-23                                                      209.4736   -68.8500  180.0000  top
Q7        MMBT2222A                 SOT-23                                                      242.2075   -68.8500  180.0000  top
Q8        MMBT2222A                 SOT-23                                                      274.9214   -68.8500  180.0000  top
Q9        MMBT2222A                 SOT-23                                                      307.7804   -69.1000  180.0000  top
